2021-11-11.14:28:48:  Initializing Epsilon Engine
2021-11-11.14:29:12:  Fragment shader: shaders/prefilter.glsl was successfully compiled.
2021-11-11.14:29:12:  Vertex shader: shaders/prefilter.vglsl was successfully compiled.
2021-11-11.14:29:12:  Fragment shader: shaders/prefilter.glsl was successfully compiled.
2021-11-11.14:29:12:  Vertex shader: shaders/prefilter.vglsl was successfully compiled.
2021-11-11.14:29:12:  Fragment shader: shaders/prefilter.glsl was successfully compiled.
2021-11-11.14:29:13:  Vertex shader: shaders/prefilter.vglsl was successfully compiled.
2021-11-11.14:29:13:  Fragment shader: shaders/prefilter.glsl was successfully compiled.
2021-11-11.14:29:13:  Vertex shader: shaders/prefilter.vglsl was successfully compiled.
2021-11-11.14:29:13:  Fragment shader: shaders/prefilter.glsl was successfully compiled.
2021-11-11.14:29:13:  Vertex shader: shaders/prefilter.vglsl was successfully compiled.
2021-11-11.14:29:13:  Fragment shader: shaders/prefilter.glsl was successfully compiled.
2021-11-11.14:29:13:  Vertex shader: shaders/prefilter.vglsl was successfully compiled.
2021-11-11.14:29:13:  Fragment shader: shaders/prefilter.glsl was successfully compiled.
2021-11-11.14:29:13:  Vertex shader: shaders/prefilter.vglsl was successfully compiled.
2021-11-11.14:29:13:  Fragment shader: shaders/prefilter.glsl was successfully compiled.
2021-11-11.14:29:13:  Vertex shader: shaders/prefilter.vglsl was successfully compiled.
2021-11-11.14:29:13:  Fragment shader: shaders/prefilter.glsl was successfully compiled.
2021-11-11.14:29:13:  Vertex shader: shaders/prefilter.vglsl was successfully compiled.
2021-11-11.14:29:13:  Fragment shader: shaders/prefilter.glsl was successfully compiled.
2021-11-11.14:29:13:  Vertex shader: shaders/prefilter.vglsl was successfully compiled.
2021-11-11.14:29:13:  Fragment shader: shaders/prefilter.glsl was successfully compiled.
2021-11-11.14:29:13:  Vertex shader: shaders/prefilter.vglsl was successfully compiled.
2021-11-11.14:29:13:  Fragment shader: shaders/prefilter.glsl was successfully compiled.
2021-11-11.14:29:13:  Vertex shader: shaders/prefilter.vglsl was successfully compiled.
2021-11-11.14:29:13:  Fragment shader: shaders/prefilter.glsl was successfully compiled.
2021-11-11.14:29:13:  Vertex shader: shaders/prefilter.vglsl was successfully compiled.
2021-11-11.14:29:13:  Fragment shader: shaders/prefilter.glsl was successfully compiled.
2021-11-11.14:29:13:  Vertex shader: shaders/prefilter.vglsl was successfully compiled.
2021-11-11.14:29:13:  Fragment shader: shaders/prefilter.glsl was successfully compiled.
2021-11-11.14:29:13:  Vertex shader: shaders/prefilter.vglsl was successfully compiled.
2021-11-11.14:29:13:  Fragment shader: shaders/prefilter.glsl was successfully compiled.
2021-11-11.14:29:13:  Vertex shader: shaders/prefilter.vglsl was successfully compiled.
2021-11-11.14:29:13:  Fragment shader: shaders/prefilter.glsl was successfully compiled.
2021-11-11.14:29:13:  Vertex shader: shaders/prefilter.vglsl was successfully compiled.
2021-11-11.14:29:13:  Fragment shader: shaders/prefilter.glsl was successfully compiled.
2021-11-11.14:29:13:  Vertex shader: shaders/prefilter.vglsl was successfully compiled.
2021-11-11.14:29:13:  Fragment shader: shaders/prefilter.glsl was successfully compiled.
2021-11-11.14:29:14:  Vertex shader: shaders/prefilter.vglsl was successfully compiled.
2021-11-11.14:29:14:  Fragment shader: shaders/prefilter.glsl was successfully compiled.
2021-11-11.14:29:14:  Vertex shader: shaders/prefilter.vglsl was successfully compiled.
2021-11-11.14:29:14:  Fragment shader: shaders/prefilter.glsl was successfully compiled.
2021-11-11.14:29:14:  Vertex shader: shaders/prefilter.vglsl was successfully compiled.
2021-11-11.14:29:14:  Fragment shader: shaders/prefilter.glsl was successfully compiled.
2021-11-11.14:29:14:  Vertex shader: shaders/prefilter.vglsl was successfully compiled.
2021-11-11.14:29:14:  Fragment shader: shaders/prefilter.glsl was successfully compiled.
2021-11-11.14:29:14:  Vertex shader: shaders/prefilter.vglsl was successfully compiled.
2021-11-11.14:29:14:  Fragment shader: shaders/prefilter.glsl was successfully compiled.
2021-11-11.14:29:14:  Vertex shader: shaders/prefilter.vglsl was successfully compiled.
2021-11-11.14:29:14:  Fragment shader: shaders/prefilter.glsl was successfully compiled.
2021-11-11.14:29:14:  Vertex shader: shaders/prefilter.vglsl was successfully compiled.
2021-11-11.14:29:14:  Fragment shader: shaders/prefilter.glsl was successfully compiled.
2021-11-11.14:29:14:  Vertex shader: shaders/prefilter.vglsl was successfully compiled.
2021-11-11.14:29:14:  Fragment shader: shaders/prefilter.glsl was successfully compiled.
2021-11-11.14:29:14:  Vertex shader: shaders/prefilter.vglsl was successfully compiled.
2021-11-11.14:29:14:  Fragment shader: shaders/prefilter.glsl was successfully compiled.
2021-11-11.14:29:14:  Vertex shader: shaders/prefilter.vglsl was successfully compiled.
2021-11-11.14:29:14:  Fragment shader: shaders/prefilter.glsl was successfully compiled.
2021-11-11.14:29:14:  Vertex shader: shaders/prefilter.vglsl was successfully compiled.
2021-11-11.14:29:14:  Fragment shader: shaders/prefilter.glsl was successfully compiled.
2021-11-11.14:29:14:  Vertex shader: shaders/prefilter.vglsl was successfully compiled.
2021-11-11.14:29:14:  Fragment shader: shaders/prefilter.glsl was successfully compiled.
2021-11-11.14:29:14:  Vertex shader: shaders/prefilter.vglsl was successfully compiled.
2021-11-11.14:29:14:  Fragment shader: shaders/prefilter.glsl was successfully compiled.
2021-11-11.14:29:14:  Vertex shader: shaders/prefilter.vglsl was successfully compiled.
2021-11-11.14:29:14:  Fragment shader: shaders/prefilter.glsl was successfully compiled.
2021-11-11.14:29:14:  Vertex shader: shaders/prefilter.vglsl was successfully compiled.
2021-11-11.14:29:14:  Fragment shader: shaders/prefilter.glsl was successfully compiled.
2021-11-11.14:29:14:  Vertex shader: shaders/prefilter.vglsl was successfully compiled.
2021-11-11.14:29:14:  Fragment shader: shaders/prefilter.glsl was successfully compiled.
2021-11-11.14:29:14:  Vertex shader: shaders/prefilter.vglsl was successfully compiled.
2021-11-11.14:29:14:  Fragment shader: shaders/prefilter.glsl was successfully compiled.
2021-11-11.14:29:15:  Vertex shader: shaders/prefilter.vglsl was successfully compiled.
2021-11-11.14:29:15:  Fragment shader: shaders/prefilter.glsl was successfully compiled.
2021-11-11.14:29:15:  Vertex shader: shaders/prefilter.vglsl was successfully compiled.
2021-11-11.14:29:15:  Fragment shader: shaders/prefilter.glsl was successfully compiled.
2021-11-11.14:29:15:  Vertex shader: shaders/prefilter.vglsl was successfully compiled.
2021-11-11.14:29:15:  Fragment shader: shaders/prefilter.glsl was successfully compiled.
2021-11-11.14:29:15:  Vertex shader: shaders/prefilter.vglsl was successfully compiled.
2021-11-11.14:29:15:  Fragment shader: shaders/prefilter.glsl was successfully compiled.
2021-11-11.14:29:15:  Vertex shader: shaders/prefilter.vglsl was successfully compiled.
2021-11-11.14:29:15:  Fragment shader: shaders/prefilter.glsl was successfully compiled.
2021-11-11.14:29:15:  Vertex shader: shaders/prefilter.vglsl was successfully compiled.
2021-11-11.14:29:15:  Fragment shader: shaders/prefilter.glsl was successfully compiled.
2021-11-11.14:29:15:  Vertex shader: shaders/prefilter.vglsl was successfully compiled.
2021-11-11.14:29:15:  Fragment shader: shaders/prefilter.glsl was successfully compiled.
2021-11-11.14:29:15:  Vertex shader: shaders/prefilter.vglsl was successfully compiled.
2021-11-11.14:29:15:  Fragment shader: shaders/prefilter.glsl was successfully compiled.
2021-11-11.14:29:15:  Vertex shader: shaders/prefilter.vglsl was successfully compiled.
2021-11-11.14:29:15:  Fragment shader: shaders/prefilter.glsl was successfully compiled.
2021-11-11.14:29:15:  Vertex shader: shaders/prefilter.vglsl was successfully compiled.
2021-11-11.14:29:15:  Fragment shader: shaders/prefilter.glsl was successfully compiled.
2021-11-11.14:29:15:  Vertex shader: shaders/prefilter.vglsl was successfully compiled.
2021-11-11.14:29:15:  Fragment shader: shaders/prefilter.glsl was successfully compiled.
2021-11-11.14:29:15:  Vertex shader: shaders/prefilter.vglsl was successfully compiled.
2021-11-11.14:29:15:  Fragment shader: shaders/prefilter.glsl was successfully compiled.
2021-11-11.14:29:15:  Vertex shader: shaders/prefilter.vglsl was successfully compiled.
2021-11-11.14:29:15:  Fragment shader: shaders/prefilter.glsl was successfully compiled.
2021-11-11.14:29:15:  Vertex shader: shaders/prefilter.vglsl was successfully compiled.
2021-11-11.14:29:15:  Fragment shader: shaders/prefilter.glsl was successfully compiled.
2021-11-11.14:29:15:  Vertex shader: shaders/prefilter.vglsl was successfully compiled.
2021-11-11.14:29:15:  Fragment shader: shaders/prefilter.glsl was successfully compiled.
2021-11-11.14:29:15:  Vertex shader: shaders/prefilter.vglsl was successfully compiled.
2021-11-11.14:29:15:  Fragment shader: shaders/prefilter.glsl was successfully compiled.
2021-11-11.14:29:15:  Vertex shader: shaders/prefilter.vglsl was successfully compiled.
2021-11-11.14:29:15:  Fragment shader: shaders/prefilter.glsl was successfully compiled.
2021-11-11.14:29:16:  Vertex shader: shaders/prefilter.vglsl was successfully compiled.
2021-11-11.14:29:16:  Fragment shader: shaders/prefilter.glsl was successfully compiled.
2021-11-11.14:29:16:  Vertex shader: shaders/prefilter.vglsl was successfully compiled.
2021-11-11.14:29:16:  Fragment shader: shaders/prefilter.glsl was successfully compiled.
2021-11-11.14:29:16:  Vertex shader: shaders/prefilter.vglsl was successfully compiled.
2021-11-11.14:29:16:  Fragment shader: shaders/prefilter.glsl was successfully compiled.
2021-11-11.14:29:16:  Vertex shader: shaders/prefilter.vglsl was successfully compiled.
2021-11-11.14:29:16:  Fragment shader: shaders/prefilter.glsl was successfully compiled.
2021-11-11.14:29:16:  Vertex shader: shaders/prefilter.vglsl was successfully compiled.
2021-11-11.14:29:16:  Fragment shader: shaders/prefilter.glsl was successfully compiled.
2021-11-11.14:29:16:  Vertex shader: shaders/prefilter.vglsl was successfully compiled.
2021-11-11.14:29:16:  Fragment shader: shaders/prefilter.glsl was successfully compiled.
2021-11-11.14:29:16:  Vertex shader: shaders/prefilter.vglsl was successfully compiled.
2021-11-11.14:29:16:  Fragment shader: shaders/prefilter.glsl was successfully compiled.
2021-11-11.14:29:16:  Vertex shader: shaders/prefilter.vglsl was successfully compiled.
2021-11-11.14:29:16:  Fragment shader: shaders/prefilter.glsl was successfully compiled.
2021-11-11.14:29:16:  Vertex shader: shaders/prefilter.vglsl was successfully compiled.
2021-11-11.14:29:16:  Fragment shader: shaders/prefilter.glsl was successfully compiled.
2021-11-11.14:29:16:  Vertex shader: shaders/prefilter.vglsl was successfully compiled.
2021-11-11.14:29:16:  Fragment shader: shaders/prefilter.glsl was successfully compiled.
2021-11-11.14:29:16:  Vertex shader: shaders/prefilter.vglsl was successfully compiled.
2021-11-11.14:29:16:  Fragment shader: shaders/prefilter.glsl was successfully compiled.
2021-11-11.14:29:16:  Vertex shader: shaders/prefilter.vglsl was successfully compiled.
2021-11-11.14:29:16:  Fragment shader: shaders/prefilter.glsl was successfully compiled.
2021-11-11.14:29:16:  Vertex shader: shaders/prefilter.vglsl was successfully compiled.
2021-11-11.14:29:16:  Fragment shader: shaders/prefilter.glsl was successfully compiled.
2021-11-11.14:29:16:  Vertex shader: shaders/prefilter.vglsl was successfully compiled.
2021-11-11.14:29:16:  Fragment shader: shaders/prefilter.glsl was successfully compiled.
2021-11-11.14:29:16:  Vertex shader: shaders/prefilter.vglsl was successfully compiled.
2021-11-11.14:29:16:  Fragment shader: shaders/prefilter.glsl was successfully compiled.
2021-11-11.14:29:16:  Vertex shader: shaders/prefilter.vglsl was successfully compiled.
2021-11-11.14:29:16:  Fragment shader: shaders/prefilter.glsl was successfully compiled.
2021-11-11.14:29:16:  Vertex shader: shaders/prefilter.vglsl was successfully compiled.
2021-11-11.14:29:16:  Fragment shader: shaders/prefilter.glsl was successfully compiled.
2021-11-11.14:29:16:  Vertex shader: shaders/prefilter.vglsl was successfully compiled.
2021-11-11.14:29:16:  Fragment shader: shaders/prefilter.glsl was successfully compiled.
2021-11-11.14:29:17:  Vertex shader: shaders/prefilter.vglsl was successfully compiled.
2021-11-11.14:29:17:  Fragment shader: shaders/prefilter.glsl was successfully compiled.
2021-11-11.14:29:17:  Vertex shader: shaders/prefilter.vglsl was successfully compiled.
2021-11-11.14:29:17:  Fragment shader: shaders/prefilter.glsl was successfully compiled.
2021-11-11.14:29:17:  Vertex shader: shaders/prefilter.vglsl was successfully compiled.
2021-11-11.14:29:17:  Fragment shader: shaders/prefilter.glsl was successfully compiled.
2021-11-11.14:29:17:  Vertex shader: shaders/prefilter.vglsl was successfully compiled.
2021-11-11.14:29:17:  Fragment shader: shaders/prefilter.glsl was successfully compiled.
2021-11-11.14:29:17:  Vertex shader: shaders/prefilter.vglsl was successfully compiled.
2021-11-11.14:29:17:  Fragment shader: shaders/prefilter.glsl was successfully compiled.
2021-11-11.14:29:17:  Vertex shader: shaders/prefilter.vglsl was successfully compiled.
2021-11-11.14:29:17:  Fragment shader: shaders/prefilter.glsl was successfully compiled.
2021-11-11.14:30:12:  Epsilon Engine has closed Succesfully.
